Depth [m],Cohesion,Friction angle, Unit Weight [kN/m3], SBTn (Robertson Chart - 1990)
3.5,5.925830388,28.77448868,19.73536861,4
3.51,5.914989386,28.72445841,19.71589049,4
3.52,5.896550117,28.6894201,19.68805584,4
3.53,5.879079003,28.68652671,19.66124372,4
3.54,5.861506796,28.74041627,19.63428022,4
3.55,5.868033973,28.70301278,19.63401369,4
3.56,5.857304092,28.70039034,19.61464763,4
3.57,5.867758188,28.68379665,19.6187843,4
3.58,5.885071878,28.68217688,19.63049517,4
3.59,5.888535009,28.66134906,19.62690328,4
3.6,5.892057642,28.64083224,19.62339598,4
3.61,5.885393968,28.65580475,19.60867127,4
3.62,5.870859199,28.63581497,19.58525113,4
3.63,5.860141475,28.6520454,19.56604813,4
3.64,5.862777915,28.60824037,19.56167533,4
3.65,5.843934353,28.6233949,19.53345843,4
3.66,5.836718624,28.69084942,19.51816959,4
3.67,5.829499136,28.70387771,19.50288847,4
3.68,5.828955271,28.70311237,19.49507773,4
3.69,5.822092134,28.66950201,19.48022657,4
3.7,5.806227167,28.69988122,19.45530135,4
3.71,5.791517936,28.71452412,19.43164874,4
3.72,5.797841734,28.6950507,19.43164874,4
3.73,5.769015806,28.73858744,19.3920905,4
3.74,5.761836545,28.81506274,19.37691777,4
3.75,5.768061752,28.79706379,19.37691777,4
3.76,5.76394908,28.88942803,19.36525161,4
3.77,5.756217095,28.73801331,19.34950691,4
3.78,5.762379912,28.72043473,19.34950691,4
3.79,5.761245086,28.73421641,19.34126704,4
3.8,5.740869576,28.85584088,19.31123772,4
3.81,5.746957296,28.83849856,19.31123772,4
3.82,5.75300372,28.90058877,19.311201,4
3.83,5.756992644,28.8829632,19.30884512,4
3.84,5.762425205,28.83469837,19.30813745,4
3.85,5.758800633,28.82998224,19.2971969,4
3.86,5.761736615,28.85803658,19.2937014,4
3.87,5.757361712,28.87108678,19.28194915,4
3.88,5.758074606,28.9456146,19.27597681,4
3.89,5.764378891,28.91290034,19.27635011,4
3.9,5.774948901,28.9121598,19.28154961,4
3.91,5.785390055,28.94252064,19.28659673,4
3.92,5.796873616,28.98662866,19.29280966,4
3.93,5.800795354,29.02922226,19.29051846,4
3.94,5.815037963,29.05892717,19.29982223,4
3.95,5.840582992,29.06089658,19.32172611,4
3.96,5.847599583,29.0292885,19.32289188,4
3.97,5.871231569,28.96940912,19.34253559,4
3.98,5.902582641,28.93883185,19.37060837,4
3.99,5.91456012,28.8597053,19.37719105,4
4,5.954385956,28.78920544,19.41430203,4
